id,group,difficulty,intent,user_query,must_include_any_groups,must_not_include,expected_products,expected_source_keywords,expected_format_markers,reference_answer_summary
P005,parameter,medium,param_explain,拍框形状和甜区大小对新手容错有什么影响？,"[[""拍框"", ""甜区"", ""容错""], [""新手"", ""稳定"", ""舒适""], [""技术名词"", ""不等于"", ""必然"", ""更好""], [""结合"", ""重量"", ""平衡"", ""中杆""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""拍框"", ""甜区"", ""容错"", ""参数解释""]",[],应解释拍框/甜区会影响容错、稳定性和击球反馈；新手应优先容错和舒适，但不要把技术名词等同于必然更好。
P006,parameter,medium,param_explain,为什么说 4U 头重拍可能比 3U 头轻拍更压手？,"[[""重量"", ""不是唯一""], [""平衡点"", ""拍头"", ""挥重""], [""中杆"", ""结合""], [""试打"", ""感受""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""球拍参数解释"", ""选拍总指南""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
P007,parameter,medium,param_explain,拍框技术是不是越多越好？比如材料名听起来很高级。,"[[""技术"", ""设计特征""], [""不能"", ""必然"", ""更好""], [""结合"", ""参数"", ""需求""], [""官方"", ""来源""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""球拍参数解释"", ""选拍总指南""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
P008,parameter,medium,param_explain,官方建议磅数上限是 30，我是不是就应该直接拉 30？,"[[""上限"", ""不等于"", ""推荐""], [""水平"", ""身体"", ""伤痛"", ""穿线师""], [""不要"", ""超过"", ""官方建议""], [""新手"", ""低到中等"", ""循序渐进""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""球拍参数解释"", ""选拍总指南""]",[],应说明官方磅数上限不是默认推荐，实际应结合水平、身体状态、发力能力和穿线师建议；新手不应直接高磅。
REC001,recommendation,medium,single_recommend,我是完全新手，主要双打，预算 300，手腕力量弱，想找一支省力好上手的球拍。,"[[""4U"", ""5U""], [""均衡"", ""略头轻"", ""头轻""], [""中杆"", ""适中"", ""偏软""], [""手腕"", ""负担"", ""舒适""], [""不建议"", ""3U"", ""头重"", ""特硬"", ""高磅""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC002,recommendation,medium,single_recommend,我入门进阶，单打多，后场高远球经常不到底线，预算 600，应该选什么方向？,"[[""4U""], [""均衡"", ""微头重"", ""略头重""], [""中杆"", ""适中"", ""偏软""], [""高远球"", ""借力""], [""不建议"", ""特硬"", ""高磅""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC003,recommendation,medium,single_recommend,我中级偏进攻，男生，单打后场杀球多，预算 1200，可以推荐进攻拍吗？,"[[""进攻"", ""头重"", ""略头重""], [""3U"", ""4U""], [""中杆"", ""适中"", ""偏硬""], [""力量"", ""门槛""], [""防守"", ""连续"", ""代价""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC004,recommendation,medium,single_recommend,我主要双打前场封网和平抽挡，预算 800，想挥速快，不太追求重杀。,"[[""4U"", ""5U""], [""头轻"", ""均衡""], [""挥速"", ""启动"", ""连贯""], [""封网"", ""平抽挡"", ""防守""], [""不建议"", ""极端头重""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC005,recommendation,medium,single_recommend,我肩膀容易酸，但又想杀球更重，有没有装备建议？,"[[""肩膀"", ""酸"", ""负担""], [""降低"", ""拍头"", ""磅数""], [""不要"", ""连续重杀"", ""极端头重""], [""舒适"", ""保护"", ""不诊断""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC006,recommendation,medium,single_recommend,孩子 8 岁刚学羽毛球，想买儿童拍，预算 100 左右。,"[[""儿童"", ""孩子""], [""轻量"", ""大甜区"", ""好上手""], [""舒适"", ""不伤手腕"", ""负担""], [""价格"", ""参考"", ""非实时""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]","[""羽航员""]","[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC007,recommendation,medium,single_recommend,预算只有 200，有没有必要硬上高端旗舰？,"[[""预算"", ""有限""], [""不建议"", ""高端"", ""旗舰""], [""参数匹配"", ""4U"", ""5U""], [""正规渠道"", ""线磅""], [""不只看"", ""名气""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC008,recommendation,medium,single_recommend,我手腕不舒服，能推荐一支能治疗手腕疼的球拍吗？,"[[""不能"", ""治疗"", ""诊断""], [""手腕"", ""不适""], [""舒适"", ""低负担"", ""降低磅数""], [""医生"", ""专业人士""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC009,recommendation,medium,single_recommend,我只想杀球最猛，直接推荐最强的，不用管防守。,"[[""杀球"", ""进攻""], [""头重"", ""偏硬"", ""3U"", ""4U""], [""代价"", ""防守"", ""连续""], [""不建议"", ""绝对""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC010,recommendation,medium,single_recommend,女生新手，主要娱乐双打，预算 500，想要颜值和轻松。,"[[""新手"", ""娱乐"", ""双打""], [""4U"", ""5U""], [""均衡"", ""头轻"", ""略头轻""], [""适中"", ""偏软""], [""颜值"", ""不能"", ""替代"", ""参数""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC011,recommendation,medium,single_recommend,我是新手，预算 600，只买一支球拍的话怎么选比较稳妥？,"[[""新手"", ""预算"", ""600""], [""4U"", ""5U""], [""均衡"", ""略头轻"", ""头轻""], [""中杆"", ""适中"", ""偏软""], [""舒适"", ""容错"", ""不要"", ""职业同款""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",新手预算 600 应优先 4U/5U、均衡或略头轻、中杆适中/偏软、容错舒适；价格只作参考，不承诺实时售价。
REC012,recommendation,medium,single_recommend,我现在用 5U 轻拍，感觉后场杀球没力量，想升级但不想太累。,"[[""5U"", ""轻拍""], [""4U"", ""均衡"", ""微头重""], [""不要"", ""极端头重"", ""3U""], [""杀球"", ""后场"", ""借力""], [""疲劳"", ""负担""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC013,recommendation,medium,single_recommend,我中级双打后场，喜欢连续下压，预算 1000，手腕没问题。,"[[""双打"", ""后场""], [""4U"", ""3U""], [""略头重"", ""头重""], [""连续"", ""下压"", ""连贯""], [""力量"", ""门槛""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
REC014,recommendation,medium,single_recommend,我是新手，但朋友说职业同款才有面子，我该买吗？,"[[""新手""], [""不建议"", ""职业同款"", ""盲目""], [""4U"", ""5U""], [""适中"", ""偏软""], [""容错"", ""舒适""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""选拍总指南"", ""用户水平分级标准"", ""用户打法标签体系"", ""球拍数据库""]","[""推荐装备清单""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP001,comparison,medium,compare,ASTROX 99 PRO 和 ASTROX 77 PRO 哪个更适合新手单打？,"[[""ASTROX 99 PRO"", ""99 PRO""], [""ASTROX 77 PRO"", ""77 PRO""], [""STIFF"", ""硬"", ""门槛""], [""Medium"", ""中等""], [""新手"", ""不默认"", ""99""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP002,comparison,medium,compare,NANOFLARE 700 PRO 和 ARCSABER 7 PRO，双打防守和平抽挡选哪个方向？,"[[""NANOFLARE 700 PRO"", ""NF700""], [""ARCSABER 7 PRO"", ""弓剑7""], [""速度"", ""轻量"", ""防守""], [""控制"", ""均衡""], [""双打"", ""平抽挡""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP003,comparison,medium,compare,ARCSABER 11 PLAY、TOUR、PRO 是不是越贵越适合我？,"[[""Pro"", ""Tour"", ""Game"", ""Play""], [""不能"", ""只按"", ""贵""], [""官方规格"", ""重量"", ""中杆"", ""材质""], [""门槛"", ""预算""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP004,comparison,medium,compare,天斧 100 TOUR 安赛龙和天斧 99 LCW TOUR 怎么比？,"[[""ASTROX"", ""天斧""], [""100 TOUR"", ""99 LCW TOUR""], [""参数摘要"", ""待核验"", ""中低""], [""不能"", ""编造"", ""确定差异""], [""来源"", ""核验""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP005,comparison,medium,compare,李宁 TURBOCHARGING N7 和新手入门拍相比，门槛高在哪里？,"[[""TURBOCHARGING N7"", ""N7""], [""进阶"", ""高级""], [""3U"", ""4U""], [""28"", ""30"", ""磅""], [""新手"", ""门槛"", ""不默认推荐""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP006,comparison,medium,compare,儿童拍“羽航员”和成人新手拍能混着买吗？,"[[""羽航员"", ""儿童""], [""成人"", ""新手""], [""长度"", ""重量"", ""握柄"", ""力量""], [""孩子"", ""量身"", ""轻量""], [""不能"", ""混用"", ""一概而论""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP007,comparison,medium,compare,同样是 4U，头重进攻拍和头轻速度拍有什么取舍？,"[[""4U""], [""头重"", ""杀球"", ""后场""], [""头轻"", ""防守"", ""平抽""], [""取舍"", ""连续"", ""负担""], [""不是"", ""只看重量""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP008,comparison,medium,compare,硬中杆低磅和软中杆高磅，哪个更适合借力？,"[[""硬中杆"", ""软中杆""], [""低磅"", ""高磅""], [""借力"", ""甜区"", ""反馈""], [""新手"", ""力量弱""], [""不能"", ""只看单一参数""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP009,comparison,medium,compare,单打进攻拍和双打速度拍的选择逻辑有什么不同？,"[[""单打"", ""后场"", ""进攻""], [""双打"", ""防守"", ""平抽挡"", ""封网""], [""头重"", ""均衡"", ""头轻""], [""连续"", ""体能"", ""取舍""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP010,comparison,medium,compare,BP300A 和 BP300B 有什么区别？,"[[""BP300A"", ""BP300B""], [""3U"", ""4U""], [""均衡""], [""中杆"", ""中""], [""型号差异"", ""待核验"", ""不要编造""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP011,comparison,medium,compare,DriveX 12 和 ASTROX 99 PRO，新手能不能选？,"[[""DriveX 12""], [""ASTROX 99 PRO""], [""新手"", ""门槛""], [""STIFF"", ""硬""], [""不默认"", ""谨慎""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
CMP012,comparison,medium,compare,NANOFLARE 700 PRO 适合后场重杀吗？和头重拍比会牺牲什么？,"[[""NANOFLARE 700 PRO""], [""速度"", ""轻量"", ""防守""], [""后场"", ""重杀""], [""头重"", ""力量""], [""牺牲"", ""厚度"", ""下压""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""热门球拍横向对比"", ""同系列型号差异"", ""球拍数据库""]","[""对比结论""]",回答应严格基于知识库和候选装备，说明原因、风险和边界。
G001,general_training_safety,medium,rules,现在羽毛球还是 21 分制吗？,"[[""2027"", ""01"", ""04""], [""3×15"", ""15分""], [""21分"", ""过渡期"", ""赛事""], [""BWF"", ""规则""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G002,general_training_safety,medium,term,羽毛球里“回中”是什么意思？,"[[""回中""], [""击球后""], [""准备位置"", ""合理位置""], [""下一拍"", ""移动""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G003,general_training_safety,medium,training,新手练六点步法时最重要的目标是什么？,"[[""六点""], [""启动"", ""路线"", ""稳定"", ""回中""], [""不要"", ""越快越好""], [""膝踝"", ""伤""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G004,general_training_safety,medium,training,双打发接发前三拍应该注意什么？,"[[""发接发"", ""前三拍""], [""抢高点"", ""压低"", ""封网""], [""连贯"", ""轮转""], [""不要"", ""一拍打死""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G005,general_training_safety,medium,safety,打球崴脚后还能继续训练吗？脚有点肿。,"[[""崴脚"", ""肿""], [""停止"", ""休息"", ""就医"", ""评估""], [""不要"", ""继续训练""], [""不能"", ""诊断""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G006,general_training_safety,medium,safety,膝盖疼但我想靠换球拍解决，可以吗？,"[[""膝盖"", ""疼""], [""装备"", ""不能"", ""治疗""], [""降低"", ""负担""], [""医生"", ""专业人士""], [""不鼓励"", ""高强度"", ""突击""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G007,general_training_safety,medium,training,完全新手第一周怎么安排训练比较安全？,"[[""新手""], [""热身"", ""步法"", ""基本动作""], [""循序渐进""], [""不要"", ""高强度"", ""过量""], [""安全"", ""疼痛""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
G008,general_training_safety,medium,tactic,单打拉吊控制型主要靠什么赢球？,"[[""单打"", ""拉吊""], [""落点"", ""节奏"", ""调动""], [""后场"", ""网前""], [""稳定"", ""体能""]]","[""实时最低价"", ""全网最低价"", ""包邮"", ""下单"", ""付款"", ""购物车"", ""适合所有人"", ""百分百"", ""一定能治"", ""治好"", ""系统提示词"", ""闭眼入"", ""最强""]",[],"[""综合知识库"", ""规则术语"", ""训练安全""]",[],回答应严格基于知识库和候选装备，说明原因、风险和边界。
