序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
44,AEROTUS 66 AR66 AR系列,YONEX AEROTUS 66,YONEX,尤尼克斯,AEROTUS 66,YONEX AEROTUS 66,AEROTUS 66 AR66 AR系列；YONEX AEROTUS 66；AEROTUS66；AR66,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-66,YONEX AEROTUS 66,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
50,Aerotus 77 AR77 AR系列,YONEX AEROTUS 77,YONEX,尤尼克斯,AEROTUS 77,YONEX AEROTUS 77,Aerotus 77 AR77 AR系列；YONEX AEROTUS 77；AEROTUS77；AR77,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-77,YONEX AEROTUS 77,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
51,Aerotus 80 AR,YONEX AEROTUS 80 WIDEBODY,YONEX,尤尼克斯,AEROTUS 80 WIDEBODY,YONEX AEROTUS 80 WIDEBODY,Aerotus 80 AR；YONEX AEROTUS 80 WIDEBODY；AEROTUS80,480,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-AEROTUS-80,YONEX AEROTUS 80 WIDEBODY,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
53,ARMORTEC 150 AT150 AT系列,YONEX ARMORTEC 150,YONEX,尤尼克斯,ARMORTEC 150,YONEX ARMORTEC 150,ARMORTEC 150 AT150 AT系列；YONEX ARMORTEC 150；ARMORTEC150；AT150,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-150,YONEX ARMORTEC 150,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
55,ARMORTEC 250LTD AT250LTD AT系列,ARMORTEC250 AT250 AT,UNKNOWN,,ARMORTEC250 AT250 AT,ARMORTEC250 AT250 AT,ARMORTEC 250LTD AT250LTD AT系列；YONEX ARMORTEC 250LTD；ARMORTEC250LTD；AT250LTD,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-250LTD,YONEX ARMORTEC 250LTD,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
56,ARMORTEC 30 AT30 AT,YONEX ARMORTEC 30,YONEX,尤尼克斯,ARMORTEC 30,YONEX ARMORTEC 30,ARMORTEC 30 AT30 AT；YONEX ARMORTEC 30；ARMORTEC30；AT30,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-30,YONEX ARMORTEC 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
57,ARMORTEC 30 MEGA AT30MEGA AT系列,YONEX ARMORTEC 30,YONEX,尤尼克斯,ARMORTEC 30,YONEX ARMORTEC 30,ARMORTEC 30 MEGA AT30MEGA AT系列；YONEX ARMORTEC 30；ARMORTEC30；AT30MEGA,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-30,YONEX ARMORTEC 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
58,ARMORTEC 300 AT300 AT系列,YONEX ARMORTEC 300,YONEX,尤尼克斯,ARMORTEC 300,YONEX ARMORTEC 300,ARMORTEC 300 AT300 AT系列；YONEX ARMORTEC 300；ARMORTEC300；AT300,780,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-300,YONEX ARMORTEC 300,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
60,ARMORTEC 500 AT500 AT系列,YONEX ARMORTEC 500,YONEX,尤尼克斯,ARMORTEC 500,YONEX ARMORTEC 500,ARMORTEC 500 AT500 AT系列；YONEX ARMORTEC 500；ARMORTEC500；AT500,980,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-500,YONEX ARMORTEC 500,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
61,ARMORTEC 600 AT600 AT系列,YONEX ARMORTEC 600,YONEX,尤尼克斯,ARMORTEC 600,YONEX ARMORTEC 600,ARMORTEC 600 AT600 AT系列；YONEX ARMORTEC 600；ARMORTEC600；AT600,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-600,YONEX ARMORTEC 600,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
62,ARMORTEC 700 AT700 老七 ARMORTEC700 AT系列,YONEX ARMORTEC 700,YONEX,尤尼克斯,ARMORTEC 700,YONEX ARMORTEC 700,ARMORTEC 700 AT700 老七 ARMORTEC700 AT系列；YONEX ARMORTEC 700；ARMORTEC700；AT700,2500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-700,YONEX ARMORTEC 700,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
63,ARMORTEC 700 LTD AT700LTD AT700 龙七 AT系列,YONEX ARMORTEC 700,YONEX,尤尼克斯,ARMORTEC 700,YONEX ARMORTEC 700,ARMORTEC 700 LTD AT700LTD AT700 龙七 AT系列；YONEX ARMORTEC 700；ARMORTEC700；AT700LTD；AT700,3800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-700,YONEX ARMORTEC 700,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
64,ARMORTEC 700 Premium AT700 ARMORTEC700Premium AT系列,YONEX ARMORTEC 700,YONEX,尤尼克斯,ARMORTEC 700,YONEX ARMORTEC 700,ARMORTEC 700 Premium AT700 ARMORTEC700Premium AT系列；YONEX ARMORTEC 700；ARMORTEC700；AT700；ARMORTEC700PREMIUM,2500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-700,YONEX ARMORTEC 700,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
65,ARMORTEC 700 新色 AT700 ARMORTEC700 AT系列,YONEX ARMORTEC 700,YONEX,尤尼克斯,ARMORTEC 700,YONEX ARMORTEC 700,ARMORTEC 700 新色 AT700 ARMORTEC700 AT系列；YONEX ARMORTEC 700；ARMORTEC700；AT700,2800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-700,YONEX ARMORTEC 700,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
70,ARMORTEC 900 PLC AT900PLC AT系列,YONEX ARMORTEC 900 TECHNIQUE,YONEX,尤尼克斯,ARMORTEC 900 TECHNIQUE,YONEX ARMORTEC 900 TECHNIQUE,ARMORTEC 900 PLC AT900PLC AT系列；YONEX ARMORTEC 900 TECHNIQUE；ARMORTEC900；AT900PLC,1800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-900,YONEX ARMORTEC 900 TECHNIQUE,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
71,ARMORTEC 900 POWER AT900P AT,YONEX ARMORTEC 900 POWER,YONEX,尤尼克斯,ARMORTEC 900 POWER,YONEX ARMORTEC 900 POWER,ARMORTEC 900 POWER AT900P AT；YONEX ARMORTEC 900 POWER；ARMORTEC900；AT900P,1800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-900-POWER,YONEX ARMORTEC 900 POWER,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
72,ARMORTEC 900 TECHNIQUE AT900 AT900T AT系列,YONEX ARMORTEC 900 TECHNIQUE,YONEX,尤尼克斯,ARMORTEC 900 TECHNIQUE,YONEX ARMORTEC 900 TECHNIQUE,ARMORTEC 900 TECHNIQUE AT900 AT900T AT系列；YONEX ARMORTEC 900 TECHNIQUE；ARMORTEC900；AT900；AT900T,1800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ARMORTEC-900,YONEX ARMORTEC 900 TECHNIQUE,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
77,CAB,YONEX CAB,YONEX,尤尼克斯,CAB,YONEX CAB,CAB；YONEX CAB,750,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CAB,YONEX CAB,精确对应,已对应,NO,YES,疑似匹配到系列/泛型号，需人工确认,已标准化商品名；知识库价格不同步，需人工确认
92,CARBONEX 10 TOUR CAB10TOUR CAB10 CAB系列,YONEX CARBONEX 10 TOUR,YONEX,尤尼克斯,CARBONEX 10 TOUR,YONEX CARBONEX 10 TOUR,CARBONEX 10 TOUR CAB10TOUR CAB10 CAB系列；YONEX CARBONEX 10 TOUR；CARBONEX10；CAB10TOUR；CAB10,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-10-TOUR,YONEX CARBONEX 10 TOUR,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
94,CARBONEX 14 Cab14 Cab,YONEX CARBONEX 14,YONEX,尤尼克斯,CARBONEX 14,YONEX CARBONEX 14,CARBONEX 14 Cab14 Cab；YONEX CARBONEX 14；CARBONEX14；CAB14,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-14,YONEX CARBONEX 14,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
96,CARBONEX 20 CAB20 CAB,YONEX CARBONEX 20,YONEX,尤尼克斯,CARBONEX 20,YONEX CARBONEX 20,CARBONEX 20 CAB20 CAB；YONEX CARBONEX 20；CARBONEX20；CAB20,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-20,YONEX CARBONEX 20,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
98,CARBONEX 20 TOUR CAB20T CAB,YONEX CARBONEX 20 TOUR,YONEX,尤尼克斯,CARBONEX 20 TOUR,YONEX CARBONEX 20 TOUR,CARBONEX 20 TOUR CAB20T CAB；YONEX CARBONEX 20 TOUR；CARBONEX20；CAB20T,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-20-TOUR,YONEX CARBONEX 20 TOUR,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
100,CARBONEX 20 long CAB20L CAB,YONEX CARBONEX 20 LONG,YONEX,尤尼克斯,CARBONEX 20 LONG,YONEX CARBONEX 20 LONG,CARBONEX 20 long CAB20L CAB；YONEX CARBONEX 20 LONG；CARBONEX20；CAB20L,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-20-LONG,YONEX CARBONEX 20 LONG,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
103,CARBONEX 21 CAB21 CAB,YONEX CARBONEX 21,YONEX,尤尼克斯,CARBONEX 21,YONEX CARBONEX 21,CARBONEX 21 CAB21 CAB；YONEX CARBONEX 21；CARBONEX21；CAB21,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-21,YONEX CARBONEX 21,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
104,CARBONEX 22 cab22 CAB,YONEX CARBONEX 22,YONEX,尤尼克斯,CARBONEX 22,YONEX CARBONEX 22,CARBONEX 22 cab22 CAB；YONEX CARBONEX 22；CARBONEX22；CAB22,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-22,YONEX CARBONEX 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
107,CARBONEX 35 cab35 CAB,YONEX CARBONEX 35,YONEX,尤尼克斯,CARBONEX 35,YONEX CARBONEX 35,CARBONEX 35 cab35 CAB；YONEX CARBONEX 35；CARBONEX35；CAB35,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-35,YONEX CARBONEX 35,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
113,CARBONEX 7 B,YONEX CARBONEX 7,YONEX,尤尼克斯,CARBONEX 7,YONEX CARBONEX 7,CARBONEX 7 B；YONEX CARBONEX 7；CARBONEX7,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-7,YONEX CARBONEX 7,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
114,CARBONEX 7000 DF CAB,YONEX CARBONEX 7000,YONEX,尤尼克斯,CARBONEX 7000,YONEX CARBONEX 7000,CARBONEX 7000 DF CAB；YONEX CARBONEX 7000；CARBONEX7000,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-7000,YONEX CARBONEX 7000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
115,CARBONEX 7000 N CAB7000N CAB,YONEX CARBONEX 7000,YONEX,尤尼克斯,CARBONEX 7000,YONEX CARBONEX 7000,CARBONEX 7000 N CAB7000N CAB；YONEX CARBONEX 7000；CARBONEX7000；CAB7000N,380,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-7000,YONEX CARBONEX 7000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
116,CARBONEX 8 CAB8 CARBONEX8 CAB系列,YONEX CARBONEX 8,YONEX,尤尼克斯,CARBONEX 8,YONEX CARBONEX 8,CARBONEX 8 CAB8 CARBONEX8 CAB系列；YONEX CARBONEX 8；CARBONEX8；CAB8,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8,YONEX CARBONEX 8,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
117,CARBONEX 8000 Light CARBONEX8000Light CAB系列,YONEX CARBONEX 8000,YONEX,尤尼克斯,CARBONEX 8000,YONEX CARBONEX 8000,CARBONEX 8000 Light CARBONEX8000Light CAB系列；YONEX CARBONEX 8000 LIGHT；CARBONEX8000；CARBONEX8000LIGHT,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8000-LIGHT,YONEX CARBONEX 8000 LIGHT,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
118,CARBONEX 8000 PLUS CAB8000PLUS CAB系列,YONEX CARBONEX 8000,YONEX,尤尼克斯,CARBONEX 8000,YONEX CARBONEX 8000,CARBONEX 8000 PLUS CAB8000PLUS CAB系列；YONEX CARBONEX 8000；CARBONEX8000；CAB8000PLUS,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8000,YONEX CARBONEX 8000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
125,CARBONEX 8蓝色 CAB8 CAB,YONEX CARBONEX 8,YONEX,尤尼克斯,CARBONEX 8,YONEX CARBONEX 8,CARBONEX 8蓝色 CAB8 CAB；YONEX CARBONEX 8；CAB8,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8,YONEX CARBONEX 8,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
126,CARBONEX 8黄色 B,YONEX CARBONEX 8,YONEX,尤尼克斯,CARBONEX 8,YONEX CARBONEX 8,CARBONEX 8黄色 B；YONEX CARBONEX 8,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-8,YONEX CARBONEX 8,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
127,CARBONEX 9 CAB9 CARBONEX9 CAB系列,YONEX CARBONEX 9,YONEX,尤尼克斯,CARBONEX 9,YONEX CARBONEX 9,CARBONEX 9 CAB9 CARBONEX9 CAB系列；YONEX CARBONEX 9；CARBONEX9；CAB9,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-9,YONEX CARBONEX 9,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
128,CARBONEX 9 TOUR CAB9TOUR CAB,YONEX CARBONEX 9 TOUR,YONEX,尤尼克斯,CARBONEX 9 TOUR,YONEX CARBONEX 9 TOUR,CARBONEX 9 TOUR CAB9TOUR CAB；YONEX CARBONEX 9 TOUR；CARBONEX9；CAB9TOUR,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-9-TOUR,YONEX CARBONEX 9 TOUR,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
129,CARBONEX 9 Tour SP CAB9 CAB系列,YONEX CARBONEX 9 TOUR,YONEX,尤尼克斯,CARBONEX 9 TOUR,YONEX CARBONEX 9 TOUR,CARBONEX 9 Tour SP CAB9 CAB系列；YONEX CARBONEX 9 TOUR SP；CARBONEX9；CAB9,280,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-CARBONEX-9-TOUR-SP,YONEX CARBONEX 9 TOUR SP,歧义，需要人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
155,ISOMETRIC 300 ISO,YONEX ISOMETRIC 300,YONEX,尤尼克斯,ISOMETRIC 300,YONEX ISOMETRIC 300,ISOMETRIC 300 ISO；YONEX ISOMETRIC 300,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-300,YONEX ISOMETRIC 300,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
174,ISOMETRIC Swing Power 500 IOS500 IOS,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,ISOMETRIC Swing Power 500 IOS500 IOS；YONEX ISOMETRIC SWING POWER 900；POWER500；IOS500,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
185,Isometric Swing Power 900 ISO900 ISO,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,Isometric Swing Power 900 ISO900 ISO；YONEX ISOMETRIC SWING POWER 900；POWER900；ISO900,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
192,MUSCLE POWER 100 MP,YONEX MUSCLE POWER 100,YONEX,尤尼克斯,MUSCLE POWER 100,YONEX MUSCLE POWER 100,MUSCLE POWER 100 MP；YONEX MUSCLE POWER 100；POWER100,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-100,YONEX MUSCLE POWER 100,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
194,MUSCLE POWER 2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP；YONEX MUSCLE POWER 2；POWER2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
195,MUSCLE POWER 2 MP2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP2 MP；YONEX MUSCLE POWER 2；POWER2；MP2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
197,MUSCLE POWER 22 MP22 mp,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 MP22 mp；YONEX MUSCLE POWER 22；POWER22；MP22,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
198,MUSCLE POWER 22 PLUS MP22PLUS MP系列,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 PLUS MP22PLUS MP系列；YONEX MUSCLE POWER 22；POWER22；MP22PLUS,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
